bag,resources,xi_b,kappa_b,active_children,Gamma_b,log_Gamma_b,instance_id
b0,no,1.0,1.0,-,1.0,0.0,real_lambeq_0000
b1,no,1.0,1.0,-,1.0,0.0,real_lambeq_0000
b2,no,1.0,1.0,-,1.0,0.0,real_lambeq_0000
b3,no,1.0,1.0,-,1.0,0.0,real_lambeq_0000
b4,no,1.0,1.0,-,1.0,0.0,real_lambeq_0000
b5,no,1.0,1.0,-,1.0,0.0,real_lambeq_0000
b6,no,1.0,1.0,-,1.0,0.0,real_lambeq_0000
